name,price_usd,price_btc,total_supply,market_cap_usd,available_supply,eth_price_launch,btc_price_launch,total_24h_usd,social_k,month,day,country,output
nano,0.62,0.00007590,133248297,82712357,133248297,16.65,1150,2942979,17,3,8,141,1.11
near_protocol,0.52,0.00006370,126083415,61042942,126083415,212.34,9729.8,1984845,18,2,6,54,0.67
nem,0.03,0.00000367,8999999999,292146931,8999999999,151,253.01,6260413,21,4,2,104,0.05
neo,9.86,0.00120736,100000000,695690645,70538831,11.79,641.07,409988928,19,10,11,29,10.95
nexo,0.12,0.00001470,1000000000,66901193,560000011,687.15,9235.92,11548567,14,5,2,155,0.13
nkn,0.02,0.00000245,700000000,8194847,699999828,565.39,7472.59,1508360,23,5,29,148,0.03
okb,2.89,0.00035388,300000000,115609653,60000000,160.82,5402.7,82270829,12,5,1,33,5.21
omg_network,0.66,0.00008080,140245398,93063549,140245398,361.93,2464.58,55948300,23,6,15,182,1.56
ontology,0.57,0.00006980,1000000000,360932918,863432987,289.26,7260.06,83594178,21,9,3,155,0.56
orbs,0.005768,0.00000071,10000000000,11635695,2229950518,158.05,4922.8,193336,15,4,4,182,0.01
paxos_standard,1,0.00012245,1118726816,243350268,243350268,122.44,4257.42,487988744,16,11,28,182,1
polygon,0.1,0.00001220,10000000000,37862248,6289222325,155.2,5247.35,15724197,12,4,29,182,0.02
prometeus,0.36,0.00004410,19250000,1546623,16450000,226.57,10666.48,342159,10,7,18,59,0.91
qtum,1.73,0.00021184,103464828,166403865,98431024,174.45,2304.98,288763336,11,5,25,155,1.75
quant,3.37,0.00041266,14612493,40657347,12072738,322.11,6295.73,1517956,12,8,11,155,6.8
ravencoin,0.02,0.00000245,8943795000,125911260,8943795000,723.34,9578.63,6141812,14,3,11,182,0.02
reserve_right,0.001539,0.00000019,100000000000,6470689,13159999000,251.76,8052.54,824723,25,5,25,148,0.003934
revain,0.04,0.00000490,85061485690,18457414,85061485690,287.43,7078.5,616441,26,11,2,33,0.01
